AphiaID_accepted,ScientificName_accepted,obis_records,inf_epi,plank_larv,Bedrock,Cobbles,Large_VLarge_Boulders,Small_Boulders,Mud,Muddy_gravel,Muddy_sand,Sandy_mud,Coarse_sand,Fine_sand,Other_species,Pebbles,Artificial,Caves,Overhangs,Gravel_shingle,Algae,Mixed,Salt_marsh,Seagrass,Biogenic_reef,Under_boulders,Crevices,Rockpools,Pelagic,Mud_grav_sand,Sand_grav_mud,Maerl,Clay,Gravel_sand,Mud_sand_gravel,Strandline,biotic_SpeciesName,biotic_AphiaID,Phylum,Class,Order,Family
125064,Amphipholis squamata,12849,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipholis squamata,125064,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
125073,Amphiura chiajei,6231,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphiura chiajei,125073,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
125080,Amphiura filiformis,16269,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphiura filiformis,125080,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
124201,Antedon bifida,686,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antedon bifida,124201,Echinodermata,Crinoidea,Comatulida,Antedonidae
129938,Aphelochaeta marioni,12800,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aphelochaeta marioni,129938,Annelida,Polychaeta,Terebellida,Cirratulidae
129840,Aphrodita aculeata,5219,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aphrodita aculeata,129840,Annelida,Polychaeta,Phyllodocida,Aphroditidae
138760,Aporrhais pespelecani,1776,Infaunal,Yes,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aporrhais pespelecani,138760,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae
138802,Arctica islandica,19273,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctica islandica,138802,Mollusca,Bivalvia,Venerida,Arcticidae
129868,Arenicola marina,9994,Infaunal,Yes,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arenicola marina,129868,Annelida,Polychaeta,NA,Arenicolidae
130485,Armandia cirrhosa,148,Infaunal,Yes,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Armandia cirrhosa,130485,Annelida,Polychaeta,NA,Opheliidae
103719,Ascidiella scabra,1501,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ascidiella scabra,103719,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae
138824,Astarte sulcata,1549,Infaunal,Yes,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Astarte sulcata,138824,Mollusca,Bivalvia,Carditida,Astartidae
123776,Asterias rubens,21920,Epifaunal,Yes,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asterias rubens,123776,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
123987,Asterina gibbosa,289,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Asterina gibbosa,123987,Echinodermata,Asteroidea,Valvatida,Asterinidae
123990,Asterina phylactica,10,NA,Unknown,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asterina phylactica,123990,Echinodermata,Asteroidea,Valvatida,Asterinidae
146524,Atrina fragilis,121,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atrina fragilis,146524,Mollusca,Bivalvia,Ostreida,Pinnidae
132473,Axinella dissimilis,96,Epifaunal,Unknown,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Axinella dissimilis,132473,Porifera,Demospongiae,Axinellida,Axinellidae
106215,Balanus crenatus,8100,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balanus crenatus,106215,Arthropoda,Hexanauplia,Sessilia,Balanidae
103058,Bathyporeia elegans,10588,Infaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bathyporeia elegans,103058,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae
103066,Bathyporeia pelagica,1614,Infaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Bathyporeia pelagica,103066,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae
100817,Bolocera tuediae,310,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bolocera tuediae,100817,Cnidaria,Anthozoa,Actiniaria,Actiniidae
103862,Botryllus schlosseri,3975,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Botryllus schlosseri,103862,Chordata,Ascidiacea,Stolidobranchia,Styelidae
124373,Brissopsis lyrifera,2121,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brissopsis lyrifera,124373,Echinodermata,Echinoidea,Spatangoida,Brissidae
138878,Buccinum undatum,14537,Epifaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buccinum undatum,138878,Mollusca,Gastropoda,Neogastropoda,Buccinidae
834020,Bugulina turbinata,206,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bugula turbinata,111166,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae
138945,Caecum armoricum,NA,Epifaunal,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caecum armoricum,138945,Mollusca,Gastropoda,Littorinimorpha,Caecidae
107729,Callianassa subterranea,3665,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Callianassa subterranea,107729,Arthropoda,Malacostraca,Decapoda,Callianassidae
107276,Cancer pagurus,15294,Epifaunal,Yes,1,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cancer pagurus,107276,Arthropoda,Malacostraca,Decapoda,Cancridae
129876,Capitella capitata,18927,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Capitella capitata,129876,Annelida,Polychaeta,NA,Capitellidae
135144,Caryophyllia (Caryophyllia) smithii,2338,Epifaunal,Yes,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caryophyllia smithii,1288958,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae
138998,Cerastoderma edule,14757,Infaunal,Yes,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerastoderma edule,138998,Mollusca,Bivalvia,Cardiida,Cardiidae
138999,Cerastoderma glaucum,13557,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerastoderma glaucum,138999,Mollusca,Bivalvia,Cardiida,Cardiidae
283798,Cerianthus lloydii,4447,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cerianthus lloydii,283798,Cnidaria,Anthozoa,Spirularia,Cerianthidae
129914,Chaetopterus variopedatus,2044,Both,Yes,1,1,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chaetopterus variopedatus,129914,Annelida,Polychaeta,NA,Chaetopteridae
129955,Chaetozone setosa,13733,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chaetozone setosa,129955,Annelida,Polychaeta,Terebellida,Cirratulidae
106230,Chthamalus montagui,544,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chthamalus montagui,106230,Arthropoda,Hexanauplia,Sessilia,Chthamalidae
106231,Chthamalus stellatus,1840,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chthamalus stellatus,106231,Arthropoda,Hexanauplia,Sessilia,Chthamalidae
103732,Ciona intestinalis,3898,Epifaunal,Yes,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ciona intestinalis,103732,Chordata,Ascidiacea,Phlebobranchia,Cionidae
129959,Cirratulus cirratus,1184,Infaunal,Yes,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cirratulus cirratus,129959,Annelida,Polychaeta,Terebellida,Cirratulidae
103552,Clavelina lepadiformis,812,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clavelina lepadiformis,103552,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae
111351,Conopeum reticulum,3190,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Conopeum reticulum,111351,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae
117428,Cordylophora caspia,809,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordylophora caspia,117428,Cnidaria,Hydrozoa,Anthoathecata,Cordylophoridae
102101,Corophium volutator,23416,Infaunal,No,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corophium volutator,102101,Arthropoda,Malacostraca,Amphipoda,Corophiidae
107552,Crangon crangon,15833,Epifaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crangon crangon,107552,Arthropoda,Malacostraca,Decapoda,Crangonidae
138963,Crepidula fornicata,7870,Epifaunal,Yes,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crepidula fornicata,138963,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae
103882,Dendrodoa grossularia,5101,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dendrodoa grossularia,103882,Chordata,Ascidiacea,Stolidobranchia,Styelidae
107643,Dichelopandalus bonnieri,196,Epifaunal,Yes,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dichelopandalus bonnieri,107643,Arthropoda,Malacostraca,Decapoda,Pandalidae
103890,Distomus variolosus,140,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distomus variolosus,103890,Chordata,Ascidiacea,Stolidobranchia,Styelidae
130987,Ditrupa arietina,880,Both,Yes,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,Ditrupa arietina,130987,Annelida,Polychaeta,Sabellida,Serpulidae
124392,Echinocardium cordatum,17945,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinocardium cordatum,124392,Echinodermata,Echinoidea,Spatangoida,Loveniidae
124273,Echinocyamus pusillus,13082,Infaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Echinocyamus pusillus,124273,Echinodermata,Echinoidea,Clypeasteroida,Fibulariidae
100888,Edwardsia ivelli,3,Infaunal,Unknown,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edwardsia ivelli,100888,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae
111355,Electra pilosa,8967,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Electra pilosa,111355,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae
140733,Ensis ensis,1900,Infaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ensis ensis,140733,Mollusca,Bivalvia,Adapedonta,Pharidae
118852,Eurydice pulchra,2731,Infaunal,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurydice pulchra,118852,Arthropoda,Malacostraca,Isopoda,Cirolanidae
111367,Flustra foliacea,5544,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flustra foliacea,111367,Bryozoa,Gymnolaemata,Cheilostomatida,Flustridae
102280,Gammarus insensibilis,131,Epifaunal,No,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammarus insensibilis,102280,Arthropoda,Malacostraca,Amphipoda,Gammaridae
102292,Gammarus salinus,7030,Epifaunal,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammarus salinus,102292,Arthropoda,Malacostraca,Amphipoda,Gammaridae
165801,Halichondria (Halichondria) bowerbanki,320,Epifaunal,Unknown,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halichondria bowerbanki,132588,Porifera,Demospongiae,Suberitida,Halichondriidae
165853,Halichondria (Halichondria) panicea,3641,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halichondria panicea,132627,Porifera,Demospongiae,Suberitida,Halichondriidae
152302,Hediste diversicolor,42327,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hediste diversicolor,152302,Annelida,Polychaeta,Phyllodocida,Nereididae
147459,Patella pellucida,394,Epifaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helcion pellucidum,162669,Mollusca,Gastropoda,NA,Patellidae
123970,Henricia oculata,443,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Henricia oculata,123970,Echinodermata,Asteroidea,Spinulosida,Echinasteridae
490616,Apohyale prevostii,93,Epifaunal,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hyale prevostii,490616,Arthropoda,Malacostraca,Amphipoda,Hyalidae
130464,Hyalinoecia tubicola,1253,NA,Unknown,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hyalinoecia tubicola,130464,Annelida,Polychaeta,Eunicida,Onuphidae
117890,Hydrallmania falcata,5115,Epifaunal,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrallmania falcata,117890,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae
151628,Peringia ulvae,72437,Epifaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrobia ulvae,140126,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae
107327,Inachus dorsettensis,1660,Epifaunal,Yes,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inachus dorsettensis,107327,Arthropoda,Malacostraca,Decapoda,Inachidae
110462,Iphinoe trispinosa,2244,NA,No,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Iphinoe trispinosa,110462,Arthropoda,Malacostraca,Cumacea,Bodotriidae
102431,Jassa falcata,338,Epifaunal,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jassa falcata,102431,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae
140170,Lacuna vincta,1353,Epifaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lacuna vincta,140170,Mollusca,Gastropoda,Littorinimorpha,Littorinidae
131495,Lanice conchilega,20064,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lanice conchilega,131495,Annelida,Polychaeta,Terebellida,Terebellidae
135193,Leptopsammia pruvoti,1050,Epifaunal,Yes,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptopsammia pruvoti,135193,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae
